                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4337,                    0.3,                      1,                 1.4105,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3656,                    0.3,                      1,                 1.4074,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                 1.3982,                    0.3,                      1,                 1.4022,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                  1.412,                0.26667,                      1,                 1.3951,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                 1.3937,                    0.2,                      1,                 1.3853,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                 1.3183,                    0.2,                      1,                  1.368,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                 1.1922,                    0.4,                      1,                 1.3413,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                 1.1328,                    0.6,                      1,                 1.3022,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                 1.0956,                0.76667,                      1,                 1.2793,             0.00011177,             0.00011177,             0.00011177
                     10,                  1.044,                    0.9,                      1,                 1.2463,             0.00012357,             0.00012357,             0.00012357
                     11,                0.99233,                0.96667,                      1,                 1.2145,              0.0001351,              0.0001351,              0.0001351
                     12,                0.85544,                0.96667,                      1,                 1.1747,             0.00014634,             0.00014634,             0.00014634
                     13,                0.88126,                0.96667,                      1,                 1.1371,             0.00015729,             0.00015729,             0.00015729
                     14,                0.81832,                0.96667,                      1,                 1.0952,             0.00016797,             0.00016797,             0.00016797
                     15,                0.82071,                0.96667,                      1,                 1.0576,             0.00017836,             0.00017836,             0.00017836
                     16,                0.75441,                0.96667,                      1,                 1.0249,             0.00018847,             0.00018847,             0.00018847
                     17,                0.58257,                      1,                      1,                0.98892,              0.0001983,              0.0001983,              0.0001983
                     18,                0.64622,                      1,                      1,                0.96009,             0.00020784,             0.00020784,             0.00020784
                     19,                0.61395,                      1,                      1,                0.93101,              0.0002171,              0.0002171,              0.0002171
                     20,                0.55236,                      1,                      1,                0.90075,             0.00022608,             0.00022608,             0.00022608
                     21,                0.45703,                      1,                      1,                0.87921,             0.00023478,             0.00023478,             0.00023478
                     22,                0.48312,                      1,                      1,                0.86057,             0.00024319,             0.00024319,             0.00024319
                     23,                0.38576,                      1,                      1,                0.84188,             0.00025132,             0.00025132,             0.00025132
                     24,                0.39295,                      1,                      1,                0.82731,             0.00025917,             0.00025917,             0.00025917
                     25,                0.31135,                      1,                      1,                0.81363,             0.00026673,             0.00026673,             0.00026673
                     26,                0.33433,                      1,                      1,                0.80255,             0.00027402,             0.00027402,             0.00027402
                     27,                0.25165,                      1,                      1,                0.79209,             0.00028101,             0.00028101,             0.00028101
                     28,                0.31523,                      1,                      1,                0.79209,             0.00028773,             0.00028773,             0.00028773
                     29,                0.24699,                      1,                      1,                0.78333,             0.00029417,             0.00029417,             0.00029417
                     30,                0.26916,                      1,                      1,                0.77655,             0.00030032,             0.00030032,             0.00030032
                     31,                0.16563,                      1,                      1,                0.77655,             0.00030618,             0.00030618,             0.00030618
                     32,                 0.2179,                      1,                      1,                0.77023,             0.00031177,             0.00031177,             0.00031177
                     33,                0.20199,                      1,                      1,                0.76484,             0.00031707,             0.00031707,             0.00031707
                     34,                  0.133,                      1,                      1,                0.76484,             0.00032209,             0.00032209,             0.00032209
                     35,                0.13382,                      1,                      1,                0.76075,             0.00032683,             0.00032683,             0.00032683
                     36,                0.12457,                      1,                      1,                0.75762,             0.00033129,             0.00033129,             0.00033129
                     37,                0.11667,                      1,                      1,                0.75762,             0.00033546,             0.00033546,             0.00033546
                     38,                0.06231,                      1,                      1,                0.75557,             0.00033935,             0.00033935,             0.00033935
                     39,                0.23636,                      1,                      1,                0.75347,             0.00034295,             0.00034295,             0.00034295
                     40,                0.09014,                      1,                      1,                0.75347,             0.00034628,             0.00034628,             0.00034628
                     41,                0.14557,                      1,                      1,                 0.7517,             0.00034932,             0.00034932,             0.00034932
                     42,                0.10889,                      1,                      1,                0.75061,             0.00035208,             0.00035208,             0.00035208
                     43,                0.06657,                      1,                      1,                0.75061,             0.00035455,             0.00035455,             0.00035455
                     44,                0.13932,                      1,                      1,                0.74974,             0.00035674,             0.00035674,             0.00035674
                     45,                0.04781,                      1,                      1,                0.74974,             0.00035865,             0.00035865,             0.00035865
                     46,                0.06746,                      1,                      1,                0.74966,             0.00036028,             0.00036028,             0.00036028
                     47,                0.05336,                      1,                      1,                0.74966,             0.00036163,             0.00036163,             0.00036163
                     48,                0.09673,                      1,                      1,                0.74954,             0.00036269,             0.00036269,             0.00036269
                     49,                0.04544,                      1,                      1,                0.74954,             0.00036347,             0.00036347,             0.00036347
                     50,                0.07004,                      1,                      1,                   0.75,             0.00036396,             0.00036396,             0.00036396
                     51,                0.05756,                      1,                      1,                   0.75,             0.00036057,             0.00036057,             0.00036057
                     52,                0.04167,                      1,                      1,                0.75024,             0.00036057,             0.00036057,             0.00036057
                     53,                0.01353,                      1,                      1,                0.75024,              0.0003535,              0.0003535,              0.0003535
                     54,                0.05773,                      1,                      1,                0.75073,             0.00034643,             0.00034643,             0.00034643
                     55,                0.03228,                      1,                      1,                0.75073,             0.00033936,             0.00033936,             0.00033936
                     56,                0.04176,                      1,                      1,                0.75123,              0.0003323,              0.0003323,              0.0003323
                     57,                0.03827,                      1,                      1,                0.75123,             0.00032523,             0.00032523,             0.00032523
                     58,                0.06501,                      1,                      1,                0.75115,             0.00031816,             0.00031816,             0.00031816
                     59,                0.02646,                      1,                      1,                0.75115,             0.00031109,             0.00031109,             0.00031109
                     60,                0.01817,                      1,                      1,                0.75089,             0.00030402,             0.00030402,             0.00030402
                     61,                0.02026,                      1,                      1,                0.75089,             0.00029695,             0.00029695,             0.00029695
                     62,                0.02432,                      1,                      1,                 0.7505,             0.00028988,             0.00028988,             0.00028988
                     63,                0.03568,                      1,                      1,                 0.7505,             0.00028282,             0.00028282,             0.00028282
                     64,                0.04319,                      1,                      1,                0.74994,             0.00027575,             0.00027575,             0.00027575
                     65,                 0.0148,                      1,                      1,                0.74994,             0.00026868,             0.00026868,             0.00026868
                     66,                0.01006,                      1,                      1,                0.74946,             0.00026161,             0.00026161,             0.00026161
                     67,                0.01868,                      1,                      1,                0.74946,             0.00025454,             0.00025454,             0.00025454
                     68,                0.02139,                      1,                      1,                0.74913,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01871,                      1,                      1,                0.74913,              0.0002404,              0.0002404,              0.0002404
                     70,                0.01111,                      1,                      1,                0.74888,             0.00023334,             0.00023334,             0.00023334
                     71,                0.06727,                      1,                      1,                0.74888,             0.00022627,             0.00022627,             0.00022627
                     72,                0.02349,                      1,                      1,                0.74829,              0.0002192,              0.0002192,              0.0002192
                     73,                0.02874,                      1,                      1,                0.74829,             0.00021213,             0.00021213,             0.00021213
                     74,                0.04181,                      1,                      1,                0.74827,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01957,                      1,                      1,                0.74827,             0.00019799,             0.00019799,             0.00019799
                     76,                0.04587,                      1,                      1,                0.74848,             0.00019092,             0.00019092,             0.00019092
                     77,                 0.0176,                      1,                      1,                0.74848,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.0298,                      1,                      1,                0.74817,             0.00017679,             0.00017679,             0.00017679
                     79,                0.02742,                      1,                      1,                0.74817,             0.00016972,             0.00016972,             0.00016972
                     80,                0.02042,                      1,                      1,                0.74761,             0.00016265,             0.00016265,             0.00016265
                     81,                0.01369,                      1,                      1,                0.74761,             0.00015558,             0.00015558,             0.00015558
                     82,                0.02119,                      1,                      1,                0.74782,             0.00014851,             0.00014851,             0.00014851
                     83,                0.01318,                      1,                      1,                0.74782,             0.00014144,             0.00014144,             0.00014144
                     84,                0.01697,                      1,                      1,                0.74745,             0.00013437,             0.00013437,             0.00013437
                     85,                0.02368,                      1,                      1,                0.74745,             0.00012731,             0.00012731,             0.00012731
                     86,                0.01575,                      1,                      1,                0.74707,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00591,                      1,                      1,                0.74707,             0.00011317,             0.00011317,             0.00011317
                     88,                0.05297,                      1,                      1,                0.74735,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00842,                      1,                      1,                0.74735,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01042,                      1,                      1,                0.74715,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00451,                      1,                      1,                0.74715,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.02195,                      1,                      1,                0.74707,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.01062,                      1,                      1,                0.74707,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.01742,                      1,                      1,                0.74737,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.03074,                      1,                      1,                0.74737,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.01245,                      1,                      1,                0.74737,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00814,                      1,                      1,                0.74737,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.04553,                      1,                      1,                0.74726,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.0056,                      1,                      1,                0.74726,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.04913,                      1,                      1,                0.74701,             2.1277e-05,             2.1277e-05,             2.1277e-05
